timestamp,open,high,low,close,volume
2025-05-04 18:00:00,3247.1,3251.3,3243.1,3246.2,3592
2025-05-04 19:00:00,3246.4,3259.5,3245.4,3255.2,4936
2025-05-04 20:00:00,3255.3,3256.0,3248.0,3253.2,3326
2025-05-04 21:00:00,3253.8,3278.3,3253.1,3272.1,9874
2025-05-04 22:00:00,3272.1,3280.6,3267.4,3278.2,6856
2025-05-04 23:00:00,3278.2,3279.8,3260.9,3262.8,5944
2025-05-05 00:00:00,3262.7,3267.8,3261.4,3264.3,3207
2025-05-05 01:00:00,3264.2,3270.4,3262.0,3267.9,3021
2025-05-05 02:00:00,3267.9,3273.9,3265.0,3270.1,3967
2025-05-05 03:00:00,3270.4,3276.0,3266.8,3272.7,4060
2025-05-05 04:00:00,3272.8,3291.3,3271.2,3290.7,8382
2025-05-05 05:00:00,3290.9,3317.7,3290.2,3317.3,18523
2025-05-05 06:00:00,3317.4,3326.9,3316.7,3322.0,11309
2025-05-05 07:00:00,3321.8,3327.7,3320.1,3321.9,7251
2025-05-05 08:00:00,3321.9,3331.7,3321.7,3328.6,10462
2025-05-05 09:00:00,3328.4,3330.1,3320.7,3325.1,10330
2025-05-05 10:00:00,3324.4,3337.9,3318.6,3321.3,16186
2025-05-05 11:00:00,3321.3,3326.9,3317.3,3321.1,9535
2025-05-05 12:00:00,3320.8,3322.5,3314.0,3318.2,6548
2025-05-05 13:00:00,3318.4,3326.6,3317.8,3325.5,5896
2025-05-05 14:00:00,3325.4,3332.2,3322.3,3331.7,5028
2025-05-05 15:00:00,3331.8,3346.7,3331.3,3337.6,9992
2025-05-05 16:00:00,3337.6,3344.0,3337.6,3343.5,3058
2025-05-05 18:00:00,3345.7,3347.8,3336.3,3339.2,2902
2025-05-05 19:00:00,3339.2,3343.9,3337.7,3342.8,2838
2025-05-05 20:00:00,3342.8,3342.8,3332.1,3338.8,5672
2025-05-05 21:00:00,3338.9,3390.0,3338.9,3388.9,26223
2025-05-05 22:00:00,3388.5,3395.0,3365.1,3366.9,16675
2025-05-05 23:00:00,3367.1,3380.5,3361.0,3368.9,12084
2025-05-06 00:00:00,3368.8,3374.1,3363.9,3371.4,5924
2025-05-06 01:00:00,3371.3,3372.3,3357.4,3369.3,8061
2025-05-06 02:00:00,3369.5,3375.7,3366.2,3372.5,6883
2025-05-06 03:00:00,3372.6,3387.3,3372.6,3378.5,10716
2025-05-06 04:00:00,3378.8,3391.1,3375.9,3385.2,7720
2025-05-06 05:00:00,3385.3,3391.2,3379.4,3390.9,6392
2025-05-06 06:00:00,3390.8,3391.8,3384.4,3391.4,6647
2025-05-06 07:00:00,3391.6,3393.2,3381.3,3386.9,7474
2025-05-06 08:00:00,3387.1,3400.4,3380.6,3399.3,13587
2025-05-06 09:00:00,3399.5,3406.4,3395.9,3399.8,19487
2025-05-06 10:00:00,3399.5,3406.9,3386.9,3394.5,20788
2025-05-06 11:00:00,3394.3,3408.3,3393.5,3403.1,12458
2025-05-06 12:00:00,3403.2,3420.4,3402.8,3417.3,14093
2025-05-06 13:00:00,3417.3,3425.9,3416.2,3422.0,14020
2025-05-06 14:00:00,3422.2,3426.4,3418.1,3424.3,5173
2025-05-06 15:00:00,3424.5,3433.2,3421.2,3431.5,7258
2025-05-06 16:00:00,3431.5,3444.5,3428.0,3441.8,8709
2025-05-06 18:00:00,3448.1,3448.2,3388.0,3389.3,24805
2025-05-06 19:00:00,3389.5,3413.4,3383.9,3409.2,11647
2025-05-06 20:00:00,3409.3,3410.3,3367.0,3387.2,20130
2025-05-06 21:00:00,3387.3,3393.0,3367.5,3382.7,14482
2025-05-06 22:00:00,3382.7,3401.9,3379.7,3398.2,9278
2025-05-06 23:00:00,3397.9,3400.3,3378.2,3384.0,6914
2025-05-07 00:00:00,3383.8,3395.8,3383.5,3390.2,4372
