timestamp,open,high,low,close,volume
2025-05-04 18:00:00,3247.1,3251.3,3243.1,3246.3,2104
2025-05-04 18:30:00,3246.2,3251.3,3245.7,3246.2,1488
2025-05-04 19:00:00,3246.4,3251.0,3245.4,3250.8,1447
2025-05-04 19:30:00,3250.8,3259.5,3250.1,3255.2,3489
2025-05-04 20:00:00,3255.3,3256.0,3251.0,3252.5,1593
2025-05-04 20:30:00,3252.3,3254.9,3248.0,3253.2,1733
2025-05-04 21:00:00,3253.8,3273.7,3253.1,3272.6,5328
2025-05-04 21:30:00,3272.6,3278.3,3270.1,3272.1,4546
2025-05-04 22:00:00,3272.1,3279.3,3267.4,3273.7,4110
2025-05-04 22:30:00,3274.2,3280.6,3273.3,3278.2,2746
2025-05-04 23:00:00,3278.2,3279.8,3265.5,3267.6,3773
2025-05-04 23:30:00,3268.0,3268.0,3260.9,3262.8,2171
2025-05-05 00:00:00,3262.7,3267.8,3261.8,3264.7,1943
2025-05-05 00:30:00,3264.7,3266.8,3261.4,3264.3,1264
2025-05-05 01:00:00,3264.2,3268.9,3263.7,3266.0,1224
2025-05-05 01:30:00,3266.2,3270.4,3262.0,3267.9,1797
2025-05-05 02:00:00,3267.9,3270.3,3265.0,3267.5,1864
2025-05-05 02:30:00,3267.2,3273.9,3265.0,3270.1,2103
2025-05-05 03:00:00,3270.4,3272.7,3266.8,3269.3,2152
2025-05-05 03:30:00,3269.0,3276.0,3268.3,3272.7,1908
2025-05-05 04:00:00,3272.8,3282.4,3271.2,3280.5,3324
2025-05-05 04:30:00,3280.6,3291.3,3278.6,3290.7,5058
2025-05-05 05:00:00,3290.9,3310.9,3290.2,3310.9,10620
2025-05-05 05:30:00,3310.9,3317.7,3307.8,3317.3,7903
2025-05-05 06:00:00,3317.4,3326.9,3316.7,3322.5,7971
2025-05-05 06:30:00,3322.6,3324.6,3320.1,3322.0,3338
2025-05-05 07:00:00,3321.8,3327.7,3320.4,3322.5,4100
2025-05-05 07:30:00,3322.4,3323.7,3320.1,3321.9,3151
2025-05-05 08:00:00,3321.9,3329.8,3321.7,3327.2,5713
2025-05-05 08:30:00,3327.1,3331.7,3324.2,3328.6,4749
2025-05-05 09:00:00,3328.4,3330.1,3324.3,3328.0,3764
2025-05-05 09:30:00,3327.5,3328.8,3320.7,3325.1,6566
2025-05-05 10:00:00,3324.4,3337.9,3318.6,3327.8,12308
2025-05-05 10:30:00,3327.9,3327.9,3319.6,3321.3,3878
2025-05-05 11:00:00,3321.3,3323.9,3317.3,3319.6,5170
2025-05-05 11:30:00,3319.6,3326.9,3319.3,3321.1,4365
2025-05-05 12:00:00,3320.8,3321.6,3314.0,3316.7,3702
2025-05-05 12:30:00,3316.7,3322.5,3316.7,3318.2,2846
2025-05-05 13:00:00,3318.4,3324.7,3317.8,3322.1,3140
2025-05-05 13:30:00,3322.1,3326.6,3320.0,3325.5,2756
2025-05-05 14:00:00,3325.4,3329.1,3322.3,3328.5,2534
2025-05-05 14:30:00,3328.4,3332.2,3326.2,3331.7,2494
2025-05-05 15:00:00,3331.8,3345.5,3331.3,3345.3,5683
2025-05-05 15:30:00,3345.2,3346.7,3336.4,3337.6,4309
2025-05-05 16:00:00,3337.6,3342.6,3337.6,3340.1,1704
2025-05-05 16:30:00,3339.9,3344.0,3339.2,3343.5,1354
2025-05-05 18:00:00,3345.7,3347.8,3336.3,3337.7,1848
2025-05-05 18:30:00,3337.9,3341.9,3337.7,3339.2,1054
2025-05-05 19:00:00,3339.2,3343.3,3337.7,3341.4,1899
2025-05-05 19:30:00,3341.0,3343.9,3339.4,3342.8,939
2025-05-05 20:00:00,3342.8,3342.8,3332.1,3333.2,2673
2025-05-05 20:30:00,3333.3,3339.2,3332.1,3338.8,2999
2025-05-05 21:00:00,3338.9,3373.3,3338.9,3365.9,16795
2025-05-05 21:30:00,3365.8,3390.0,3364.0,3388.9,9428
2025-05-05 22:00:00,3388.5,3395.0,3384.0,3390.4,6369
2025-05-05 22:30:00,3390.4,3390.9,3365.1,3366.9,10306
2025-05-05 23:00:00,3367.1,3380.5,3361.0,3370.7,8688
