Window,SL Multiplier,Either Candle,Same Candle,Two Lots One Candle,Either Candle - Diff,Either Candle - % Change,Two Lots One Candle - Diff,Two Lots One Candle - % Change,Metric
1,1.0,9983.57999999999,7284.919999999983,7250.60999999999,2698.660000000008,37.0444699461355,-34.309999999993124,-0.47097291390973695,Total PnL
1,1.5,10053.13499999998,7397.099999999969,7378.734999999976,2656.0350000000108,35.90643630612026,-18.364999999993415,-0.2482729718402278,Total PnL
1,2.0,10029.80999999998,7314.69999999997,7299.679999999974,2715.1100000000097,37.11854211382587,-15.019999999995889,-0.20533993191786337,Total PnL
1,2.5,9899.074999999964,7253.409999999972,7268.559999999974,2645.6649999999927,36.474775312577165,15.150000000002365,0.20886727759774262,Total PnL
1,2.75,9838.887499999984,7299.217499999989,7318.902499999988,2539.6699999999955,34.79372960183745,19.68499999999949,0.26968644241659495,Total PnL
1,3.0,9737.859999999966,7285.619999999977,7305.929999999976,2452.239999999989,33.6586316607234,20.30999999999858,0.2787683134722734,Total PnL
1,3.25,9646.734999999948,7328.527499999969,7350.839999999969,2318.2074999999786,31.63265062456255,22.3125,0.3044608893123495,Total PnL
1,3.5,9610.814999999977,7303.439999999972,7370.129999999974,2307.3750000000045,31.59298905721158,66.69000000000142,0.9131313463244947,Total PnL
1,3.75,9492.412499999984,7216.694999999991,7282.34499999999,2275.7174999999934,31.534067880102963,65.64999999999964,0.9096961974976041,Total PnL
1,4.0,9457.929999999968,7146.169999999987,7215.329999999987,2311.75999999998,32.349636238712264,69.15999999999985,0.9677911384699773,Total PnL
2,1.0,6945.659999999955,5044.789999999926,4591.00999999992,1900.870000000029,37.67986378025759,-453.7800000000061,-8.995022587659998,Total PnL
2,1.5,6935.469999999936,5090.774999999904,4589.2249999998985,1844.6950000000315,36.236034788417605,-501.55000000000564,-9.85213449818574,Total PnL
2,2.0,6839.619999999943,4963.9499999999125,4549.949999999894,1875.67000000003,37.78583587667207,-414.0000000000182,-8.340132354274832,Total PnL
2,2.5,6753.829999999943,4900.054999999912,4481.154999999899,1853.7750000000306,37.83171821540909,-418.9000000000133,-8.548883634980031,Total PnL
2,2.75,6735.729999999961,5008.132499999912,4472.4424999999,1727.597500000049,34.49584251215556,-535.6900000000123,-10.69640230165679,Total PnL
2,3.0,6657.489999999953,4910.239999999906,4395.649999999896,1747.2500000000473,35.58380038450423,-514.5900000000101,-10.479935807618771,Total PnL
2,3.25,6587.597499999949,4893.602499999912,4368.192499999898,1693.9950000000372,34.616522285985994,-525.4100000000135,-10.736670990339386,Total PnL
2,3.5,6655.549999999956,4978.894999999921,4474.309999999907,1676.6550000000343,33.67524320155498,-504.5850000000146,-10.134477630077006,Total PnL
2,3.75,6667.762499999956,4946.777499999922,4433.257499999905,1720.9850000000342,34.79002239336742,-513.5200000000168,-10.380899484563939,Total PnL
2,4.0,6587.129999999963,4992.579999999923,4567.649999999907,1594.5500000000402,31.938396580526803,-424.93000000001575,-8.511230666309249,Total PnL
3,1.0,5882.319999999965,3967.360000000005,3786.3699999999744,1914.95999999996,48.267865784802936,-180.9900000000307,-4.561975721891395,Total PnL
3,1.5,5880.179999999971,4062.150000000014,3816.554999999983,1818.029999999957,44.75536353901138,-245.59500000003118,-6.045936265278986,Total PnL
3,2.0,5799.599999999961,3959.139999999976,3798.009999999943,1840.459999999985,46.486358148486694,-161.1300000000333,-4.069823244442841,Total PnL
3,2.5,5724.324999999946,3871.779999999976,3699.4699999999366,1852.54499999997,47.84737252633108,-172.3100000000395,-4.450407822759573,Total PnL
3,2.75,5582.474999999966,3749.519999999986,3601.0974999999426,1832.95499999998,48.88505728733243,-148.42250000004333,-3.9584400136562516,Total PnL
3,3.0,5522.049999999957,3745.869999999987,3613.159999999944,1776.1799999999703,47.41702194683682,-132.71000000004324,-3.542835175808122,Total PnL
3,3.25,5498.889999999936,3708.3899999999785,3586.6399999999344,1790.4999999999573,48.28240826881659,-121.75000000004411,-3.283095898760508,Total PnL
3,3.5,5456.829999999944,3740.124999999976,3631.44999999993,1716.7049999999685,45.89966912870504,-108.67500000004611,-2.9056515490804937,Total PnL
3,3.75,5539.239999999943,3672.702499999975,3578.169999999929,1866.5374999999685,50.82190839034693,-94.53250000004573,-2.573922064203305,Total PnL
3,4.0,5456.029999999935,3677.629999999975,3654.1099999999287,1778.39999999996,48.35723006392628,-23.520000000046366,-0.6395423139371422,Total PnL
4,1.0,5315.260000000019,4341.809999999985,4321.849999999976,973.4500000000344,22.42037307021813,-19.96000000000913,-0.45971610918048467,Total PnL
4,1.5,5183.775000000017,4190.579999999997,4188.829999999981,993.1950000000197,23.700657188265595,-1.750000000016371,-0.04176032911951024,Total PnL
4,2.0,5229.990000000007,4102.159999999985,4127.59999999997,1127.8300000000218,27.493564366090688,25.439999999985048,0.6201610858665956,Total PnL
4,2.5,5075.729999999997,4019.6949999999833,4034.719999999964,1056.0350000000135,26.27152060044401,15.024999999980537,0.37378457818268795,Total PnL
4,2.75,4966.277500000007,3924.8974999999914,4008.024999999966,1041.380000000016,26.532667413608085,83.12749999997459,2.1179533987823826,Total PnL
4,3.0,5059.990000000003,4057.909999999984,4140.399999999961,1002.0800000000195,24.69448558494455,82.4899999999775,2.0328198506122073,Total PnL
4,3.25,5009.594999999988,3962.029999999973,4043.557499999952,1047.5650000000155,26.440107722556938,81.52749999997923,2.0577204110009206,Total PnL
4,3.5,5013.28000000001,3977.649999999992,4057.719999999966,1035.6300000000178,26.036227420713736,80.06999999997424,2.012997624224716,Total PnL
4,3.75,5045.502500000009,3924.2874999999976,4006.852499999971,1121.215000000011,28.57117374810107,82.56499999997322,2.1039488059927636,Total PnL
4,4.0,5065.529999999996,3820.5999999999904,3904.179999999965,1244.9300000000057,32.5846725645189,83.57999999997446,2.187614510809157,Total PnL
5,1.0,4972.289999999972,3955.789999999988,3975.049999999991,1016.4999999999836,25.696510684338314,19.260000000002947,0.48688125507175567,Total PnL
