timestamp,open,high,low,close,volume,open interest
2025-05-05,3247.1,3346.7,3243.1,3322.3,184904,308187
2025-05-06,3345.7,3444.5,3332.1,3422.8,268098,305803
2025-05-07,3448.1,3448.2,3367.0,3391.9,304244,283553
2025-05-08,3373.1,3422.0,3293.3,3306.0,327126,261155
2025-05-09,3310.2,3352.7,3278.9,3344.0,232464,246570
2025-05-12,3281.0,3295.5,3211.2,3228.0,308534,224527
2025-05-13,3240.7,3270.4,3220.1,3247.8,214423,204404
2025-05-14,3254.1,3261.3,3170.7,3188.3,233929,196781
2025-05-15,3180.8,3244.3,3123.3,3226.6,253064,189555
2025-05-16,3243.5,3255.8,3156.4,3187.2,245486,185744
2025-05-19,3220.0,3252.9,3209.1,3233.5,182651,0
