Entry Time,Exit Time,Direction,Entry Price,Exit Price,PnL,Exit Reason,SL Price,Units,Cumulative PnL,Duration,MAE,MFE
2023-06-14 05:40:00,2023-06-14 07:25:00,Short,1947.71,1948.4524999999999,-0.7424999999998363,SL Hit,1948.4524999999999,1,-0.7424999999998363,105.0,1.5199999999999818,-2.910000000000082
2023-06-14 07:45:00,2023-06-14 10:35:00,Long,1949.9800000000002,1948.56,-4.2600000000009,SL Hit,1948.56,3,-5.002500000000737,170.0,-1.9600000000002638,2.7799999999997453
2023-06-14 10:40:00,2023-06-14 12:30:00,Short,1948.93,1948.9850000000001,-0.055000000000063665,SL Hit,1948.9850000000001,1,-5.0575000000008,110.0,2.6499999999998636,-3.630000000000109
2023-06-14 23:35:00,2023-06-15 00:20:00,Long,1944.355,1942.0,-4.710000000000036,SL Hit,1942.0,2,-9.767500000000837,45.0,-2.755000000000109,0.8050000000000637
2023-06-15 05:05:00,2023-06-15 05:25:00,Short,1932.605,1935.36,-5.5099999999997635,SL Hit,1935.36,2,-15.2775000000006,20.0,3.2549999999998818,-1.8450000000000273
2023-06-15 05:35:00,2023-06-15 07:00:00,Long,1936.04,1930.76,-10.559999999999945,SL Hit,1930.76,2,-25.837500000000546,85.0,-6.259999999999991,3.4400000000000546
2023-06-15 08:10:00,2023-06-15 08:20:00,Long,1933.17,1931.3274999999999,-1.8425000000002,SL Hit,1931.3274999999999,1,-27.680000000000746,10.0,-2.230000000000018,0.9800000000000182
2023-06-15 09:50:00,2023-06-15 11:25:00,Long,1933.52,1931.54,-1.9800000000000182,SL Hit,1931.54,1,-29.660000000000764,95.0,-2.2999999999999545,2.8900000000001
2023-06-15 12:20:00,2023-06-15 12:30:00,Short,1930.69,1931.0474999999997,-0.357499999999618,SL Hit,1931.0474999999997,1,-30.017500000000382,10.0,0.7599999999999909,-4.480000000000018
2023-06-15 16:35:00,2023-06-15 17:15:00,Long,1958.73,1958.5100000000002,-0.2199999999997999,SL Hit,1958.5100000000002,1,-30.237500000000182,40.0,-0.32999999999992724,1.3299999999999272
