Window,SL Multiplier,Total Trades,Total Units,Win Rate (%),Total PnL,Average PnL,Max Drawdown,Risk-Reward,Avg Win,Avg Loss,Average MAE,Max MAE,Average MFE,Max MFE,Winning PnL,Losing PnL,Avg Trade Efficiency (%),Sharpe-like Ratio,Sortino Ratio,Expectancy,Normalized PnL,PnL per Unit,Efficiency Ratio
10,1.5,1905,3241,14.278215223097114,295632.99999999674,155.18792650918465,14469.999999999709,8.789403946180377,2250.279411764698,-256.0218446601951,-10.788291880181646,-3898.3333333333576,3.96603882847996,4390.50000000002,612075.9999999979,-316443.0000000011,0.484166846055958,0.15563478767138858,0.3165257179184288,101.83324287133823,155.18792650918465,91.21659981487095,14.384846853677423
10,1.0,1979,3243,13.188479029813035,293190.999999997,148.15108640727487,12442.999999999825,10.085899478326331,2222.6781609195355,-220.37480798771256,-6.372213399424106,-3898.3333333333576,0.12753394772117913,4390.50000000002,580118.9999999987,-286928.00000000175,-3.206232462668991,0.14798066056309434,0.3120650702400651,101.82672050384463,148.15108640727487,90.40733888374868,23.24954880209507
10,2.5,1814,3255,15.766262403528113,279931.4999999968,154.3172546857755,17126.000000000262,7.196944826803114,2225.332167832162,-309.2051170858643,-16.287753977004424,-3898.3333333333576,7.922830366987024,4390.50000000002,636444.9999999984,-356513.5000000015,2.7417201773638795,0.16107204856345161,0.3011725207816,90.39668196956882,154.3172546857755,86.0004608294921,9.474434283796622
10,2.75,1800,3272,16.055555555555557,281408.4999999972,156.338055555554,18065.750000000262,6.955888417811839,2249.2871972318276,-323.3644736842114,-18.299242063492393,-3898.3333333333576,7.563535714285726,4390.50000000002,650043.9999999981,-368635.500000001,3.476016635594726,0.16235132764576754,0.3015751226161079,89.68904459064152,156.338055555554,86.0050427872852,8.543416990338288
10,2.0,1849,3259,15.08923742563548,287010.9999999966,155.2249864791761,15890.00000000032,7.83354718514398,2249.3046594982,-287.1374367622269,-13.764014439379613,-3898.3333333333576,7.228413900263629,4390.50000000002,627555.9999999978,-340545.0000000011,1.2447959873640588,0.1582178977210068,0.30807230971487853,95.59233330627455,155.2249864791761,88.06719852715453,11.27759544011148
10,3.25,1762,3279,16.74233825198638,272767.2499999976,154.80547673098616,19414.00000000029,6.397056227370282,2228.115254237282,-348.3032155797107,-20.553197124480054,-3898.3333333333576,8.299810821036646,4390.50000000002,657293.9999999981,-384526.7500000006,-0.005829042733142435,0.164703144301105,0.2910275910331744,83.04947942370177,154.80547673098616,83.18610856968515,7.531941419790297
10,3.5,1746,3289,17.06758304696449,285536.99999999814,163.53780068728415,18834.500000000146,6.312842918994044,2272.426174496638,-359.9687500000001,-20.36902443680815,-3898.3333333333576,8.246668575792265,5030.3333333333285,677182.9999999981,-391646.0000000001,-0.2781790836600512,0.17102372956650536,0.3022730164263075,89.31743986254179,163.53780068728415,86.81574946792281,8.028749790871709
10,3.75,1742,3303,17.16417910447761,275416.9999999986,158.10390355912665,20107.500000000204,6.105118401201974,2264.795986622067,-370.96675900276966,-21.680290853425483,-3898.3333333333576,7.666437045541476,5030.3333333333285,677173.9999999981,-401756.99999999953,-0.5751302475344768,0.16696743428960228,0.2897997346454957,81.44027942537394,158.10390355912665,83.38389343021453,7.292517643237534
10,3.0,1783,3279,16.376892877173304,278006.99999999756,155.92091979809172,18711.000000000233,6.676607407896858,2245.5993150684867,-336.3383793410513,-19.53755842213527,-3898.3333333333576,9.176967657506065,4390.50000000002,655714.9999999981,-377708.0000000006,0.9225483058244323,0.16333117897128635,0.29642431108981687,86.50279102775698,155.92091979809172,84.78408051235058,7.980573438564338
10,4.0,1727,3298,17.313259988419226,282329.9999999981,163.48002316155072,20735.000000000204,6.074698864846989,2304.163879598655,-379.30503731343276,-20.703966415750273,-3898.3333333333576,8.375940938042833,5030.3333333333285,688944.9999999979,-406614.99999999994,-1.2987610576047333,0.1698618304576191,0.2974844340731063,85.29091297997451,163.48002316155072,85.60642813826503,7.896072659641943
