Window,SL Multiplier,Total Trades,Total Units,Win Rate (%),Total PnL,Average PnL,Max Drawdown,Risk-Reward,Avg Win,Avg Loss,Average MAE,Max MAE,Average MFE,Max MFE,Winning PnL,Losing PnL,Avg Trade Efficiency (%),Sharpe-like Ratio,Sortino Ratio,Expectancy,Normalized PnL,PnL per Unit,Efficiency Ratio
10,1.5,1905,3241,14.278215223097114,2956.329999999967,1.5518792650918463,144.6999999999971,8.789403946180375,22.502794117646978,-2.560218446601951,-0.1078829188018165,-38.983333333333576,0.039660388284799564,43.9050000000002,6120.759999999978,-3164.430000000011,0.48416684605595756,0.15563478767138858,0.31652571791842876,1.0183324287133817,1.5518792650918463,0.9121659981487094,14.384846853677416
10,1.0,1979,3243,13.188479029813035,2931.90999999997,1.4815108640727488,124.42999999999802,10.085899478326331,22.226781609195353,-2.2037480798771254,-0.06372213399424105,-38.983333333333576,0.0012753394772117615,43.9050000000002,5801.189999999987,-2869.280000000017,-3.2062324626689915,0.14798066056309436,0.31206507024006513,1.0182672050384463,1.4815108640727488,0.9040733888374869,23.249548802095074
10,2.5,1814,3255,15.766262403528113,2799.314999999968,1.5431725468577553,171.2600000000025,7.196944826803114,22.25332167832162,-3.0920511708586425,-0.16287753977004427,-38.983333333333576,0.0792283036698702,43.9050000000002,6364.4499999999825,-3565.1350000000148,2.7417201773638795,0.16107204856345167,0.30117252078160006,0.9039668196956874,1.5431725468577553,0.8600046082949211,9.474434283796622
10,2.75,1800,3272,16.055555555555557,2814.084999999972,1.56338055555554,180.65750000000253,6.955888417811841,22.492871972318277,-3.2336447368421135,-0.18299242063492394,-38.983333333333576,0.07563535714285725,43.9050000000002,6500.439999999982,-3686.3550000000096,3.476016635594725,0.1623513276457675,0.3015751226161079,0.8968904459064158,1.56338055555554,0.860050427872852,8.543416990338288
10,2.0,1849,3259,15.08923742563548,2870.109999999966,1.5522498647917609,158.90000000000327,7.833547185143978,22.493046594981998,-2.8713743676222694,-0.13764014439379615,-38.983333333333576,0.07228413900263625,43.9050000000002,6275.559999999978,-3405.4500000000116,1.2447959873640586,0.15821789772100683,0.30807230971487853,0.9559233330627448,1.5522498647917609,0.8806719852715452,11.277595440111478
10,3.25,1762,3279,16.74233825198638,2727.672499999976,1.5480547673098615,194.14000000000306,6.397056227370284,22.281152542372823,-3.4830321557971065,-0.20553197124480055,-38.983333333333576,0.08299810821036642,43.9050000000002,6572.939999999982,-3845.2675000000054,-0.005829042733142435,0.16470314430110494,0.2910275910331744,0.8304947942370182,1.5480547673098615,0.8318610856968515,7.5319414197902965
10,3.5,1746,3289,17.06758304696449,2855.3699999999812,1.6353780068728414,188.34500000000162,6.312842918994044,22.72426174496638,-3.5996875000000013,-0.20369024436808153,-38.983333333333576,0.08246668575792264,50.303333333333285,6771.829999999982,-3916.4600000000014,-0.27817908366005095,0.17102372956650533,0.3022730164263075,0.8931743986254181,1.6353780068728414,0.8681574946792281,8.028749790871707
10,3.75,1742,3303,17.16417910447761,2754.1699999999855,1.581039035591266,201.0750000000021,6.105118401201974,22.647959866220674,-3.7096675900276974,-0.2168029085342548,-38.983333333333576,0.07666437045541473,50.303333333333285,6771.739999999982,-4017.569999999996,-0.5751302475344761,0.1669674342896022,0.2897997346454956,0.8144027942537391,1.581039035591266,0.8338389343021452,7.292517643237532
10,3.0,1783,3279,16.376892877173304,2780.069999999976,1.5592091979809175,187.1100000000024,6.67660740789686,22.45599315068487,-3.363383793410512,-0.19537558422135268,-38.983333333333576,0.09176967657506067,43.9050000000002,6557.149999999981,-3777.0800000000054,0.9225483058244313,0.1633311789712864,0.2964243110898169,0.8650279102775706,1.5592091979809175,0.847840805123506,7.980573438564341
10,4.0,1727,3298,17.313259988419226,2823.2999999999806,1.634800231615507,207.35000000000218,6.07469886484699,23.041638795986554,-3.793050373134328,-0.2070396641575027,-38.983333333333576,0.0837594093804283,50.303333333333285,6889.44999999998,-4066.1499999999996,-1.2987610576047333,0.16986183045761907,0.2974844340731064,0.8529091297997455,1.634800231615507,0.8560642813826502,7.896072659641944
1,1.5,6868,13796,22.20442632498544,7397.099999999969,1.077038439138027,46.634999999997035,7.629511000892429,7.665881967213096,-1.0047671425228186,-0.029112151078551068,-54.67000000000053,-0.29777551741518254,38.17599999999993,11690.469999999972,-4293.370000000004,-22.142858890000518,0.3233808356360547,0.9056894703114936,0.9205007509464986,1.077038439138027,0.5361771527979102,36.99618198023009
1,1.0,6956,13531,21.204715353651522,7284.919999999983,1.0472857964347302,48.099999999997635,8.655757108381694,7.536115254237277,-0.8706477272727274,-0.034074346106257904,-54.67000000000053,-0.2888874570895805,38.17599999999993,11115.769999999984,-3830.850000000001,-21.71283984803534,0.3142422619862837,0.91622329031204,0.9119824334126172,1.0472857964347302,0.5383874066957345,30.73531604007484
1,2.5,6756,14228,23.682652457075193,7253.409999999972,1.0736249259917068,63.775000000002365,6.272297159697748,7.669931249999977,-1.2228265107212457,-0.03183010745832433,-54.67000000000053,-0.3031992608034967,38.17599999999993,12271.889999999963,-5018.479999999992,-25.138901530244087,0.33305645538863027,0.7996403229533631,0.883214403599944,1.0736249259917068,0.5097982850716877,33.72985552742544
1,2.75,6739,14298,23.86110698916753,7299.217499999989,1.0831306573675603,69.2349999999974,6.1242636592642405,7.74896144278605,-1.2652886736945284,-0.03215834617559445,-54.67000000000053,-0.30414083615926885,38.17599999999993,12460.329999999969,-5161.112499999981,-26.06961372224454,0.3341102168298744,0.7856354133026192,0.8856111908700615,1.0831306573675603,0.5105061896768771,33.68116791371465
