Entry Time,Exit Time,Direction,Entry Price,Exit Price,PnL,Exit Reason,SL Price,Units,Cumulative PnL,Duration,MAE,MFE
2023-06-14 04:35:00,2023-06-14 05:15:00,Long,1948.99,1947.6,-2.7800000000002,SL Hit,1947.6,2,-2.7800000000002,40.0,-1.3900000000001,0.36999999999989086
2023-06-14 05:40:00,2023-06-14 07:25:00,Short,1947.71,1948.79,-1.0799999999999272,SL Hit,1948.79,1,-3.8600000000001273,105.0,1.5199999999999818,-2.910000000000082
2023-06-14 07:45:00,2023-06-14 10:35:00,Long,1950.2166666666665,1948.56,-4.9699999999995725,SL Hit,1948.56,3,-8.8299999999997,170.0,-2.196666666666488,2.5433333333335213
2023-06-14 10:40:00,2023-06-14 12:30:00,Short,1948.93,1949.01,-0.07999999999992724,SL Hit,1949.01,1,-8.909999999999627,110.0,2.6499999999998636,-3.630000000000109
2023-06-14 23:30:00,2023-06-15 00:20:00,Long,1944.22,1942.0,-4.440000000000055,Bearish Trade Reversal,1942.0,2,-13.349999999999682,50.0,-2.6200000000001182,0.9400000000000546
2023-06-15 00:20:00,2023-06-15 05:25:00,Short,1938.1200000000001,1935.36,11.040000000000873,SL Hit,1935.36,4,-2.3099999999988086,305.0,5.029999999999973,-7.360000000000127
2023-06-15 05:35:00,2023-06-15 07:00:00,Long,1935.835,1930.76,-10.150000000000091,SL Hit,1930.76,2,-12.4599999999989,85.0,-6.055000000000064,3.644999999999982
2023-06-15 08:10:00,2023-06-15 11:00:00,Long,1932.86,1932.8,-0.1799999999998363,SL Hit,1932.8,3,-12.639999999998736,170.0,-2.119999999999891,3.550000000000182
2023-06-15 11:10:00,2023-06-15 13:00:00,Short,1933.14,1933.8199999999995,-0.6799999999993815,SL Hit,1933.8199999999995,1,-13.319999999998117,110.0,2.599999999999909,-6.930000000000064
2023-06-15 16:30:00,2023-06-15 18:05:00,Long,1959.255,1957.74,-3.0300000000002,Bearish Trade Reversal,1957.74,2,-16.349999999998317,95.0,-1.6550000000002,0.875
2023-06-15 18:05:00,2023-06-16 00:10:00,Short,1958.4599999999998,1959.18,-2.8800000000010186,Bullish Trade Reversal,1959.18,4,-19.229999999999336,365.0,1.1000000000001364,-1.7599999999997635
2023-06-16 00:10:00,2023-06-16 00:15:00,Long,1958.6,1958.6,0.0,SL Hit,1958.6,1,-19.229999999999336,5.0,-0.2699999999999818,0.6700000000000728
2023-06-16 02:45:00,2023-06-16 05:40:00,Short,1956.37,1957.76,-2.7800000000002,SL Hit,1957.76,2,-22.009999999999536,175.0,1.540000000000191,-2.369999999999891
2023-06-16 08:30:00,2023-06-16 12:45:00,Long,1963.815,1963.84,0.0999999999994543,SL Hit,1963.84,4,-21.910000000000082,255.0,-2.8450000000000273,3.9849999999999
2023-06-18 23:45:00,2023-06-18 23:50:00,Short,1956.95,1956.95,0.0,SL Hit,1956.95,1,-21.910000000000082,5.0,0.049999999999954525,-1.0499999999999545
2023-06-19 00:10:00,2023-06-19 00:25:00,Short,1957.9,1958.3799999999997,-0.47999999999956344,SL Hit,1958.3799999999997,1,-22.389999999999645,15.0,0.5799999999999272,-0.8000000000001819
2023-06-19 00:30:00,2023-06-19 04:25:00,Short,1956.445,1955.83,2.4600000000000364,SL Hit,1955.83,4,-19.92999999999961,235.0,1.6950000000001637,-2.644999999999982
2023-06-19 07:05:00,2023-06-19 07:30:00,Short,1954.36,1954.36,0.0,SL Hit,1954.36,1,-19.92999999999961,25.0,0.21000000000003638,-1.5599999999999454
2023-06-19 07:35:00,2023-06-19 08:00:00,Short,1953.97,1955.5299999999995,-1.5599999999994907,SL Hit,1955.5299999999995,1,-21.4899999999991,25.0,2.1399999999998727,-1.1900000000000546
2023-06-19 08:15:00,2023-06-19 09:40:00,Long,1956.6599999999999,1952.78,-7.7599999999997635,Bearish Trade Reversal,1952.78,2,-29.249999999998863,85.0,-3.9899999999997817,1.8300000000001546
2023-06-19 09:40:00,2023-06-19 12:20:00,Short,1950.5366666666666,1950.7,-0.49000000000023647,SL Hit,1950.7,3,-29.7399999999991,160.0,3.013333333333321,-2.736666666666679
2023-06-19 13:05:00,2023-06-19 15:55:00,Long,1952.29,1950.78,-3.019999999999982,Bearish Trade Reversal,1950.78,2,-32.75999999999908,170.0,-1.849999999999909,1.0699999999999363
2023-06-19 15:55:00,2023-06-19 16:00:00,Short,1950.91,1950.91,0.0,SL Hit,1950.91,1,-32.75999999999908,5.0,0.4199999999998454,-0.4700000000000273
2023-06-19 16:05:00,2023-06-19 16:25:00,Short,1951.25,1951.25,0.0,SL Hit,1951.25,1,-32.75999999999908,20.0,0.08999999999991815,-1.5499999999999545
2023-06-19 17:10:00,2023-06-19 17:30:00,Short,1950.3,1950.3,0.0,SL Hit,1950.3,1,-32.75999999999908,20.0,0.009999999999990905,-1.099999999999909
2023-06-19 18:05:00,2023-06-19 18:20:00,Short,1949.83,1949.83,0.0,SL Hit,1949.83,1,-32.75999999999908,15.0,0.2599999999999909,-1.1299999999998818
2023-06-20 06:25:00,2023-06-20 06:30:00,Long,1950.85,1950.85,0.0,SL Hit,1950.85,1,-32.75999999999908,5.0,-0.09999999999990905,0.6300000000001091
2023-06-20 09:55:00,2023-06-20 12:10:00,Short,1951.76,1953.47,-3.4200000000000728,SL Hit,1953.47,2,-36.179999999999154,135.0,1.740000000000009,-1.6600000000000819
2023-06-20 16:45:00,2023-06-20 19:20:00,Long,1936.573333333333,1936.2,-1.1199999999989814,SL Hit,1936.2,3,-37.299999999998136,155.0,-0.8033333333330575,1.5966666666670335
2023-06-20 19:30:00,2023-06-20 19:45:00,Short,1936.5900000000001,1938.17,-3.1599999999998545,Bullish Trade Reversal,1938.17,2,-40.45999999999799,15.0,1.7599999999997635,-1.0900000000001455
2023-06-20 19:45:00,2023-06-20 19:50:00,Long,1938.03,1937.1499999999999,-0.8800000000001091,SL Hit,1937.1499999999999,1,-41.3399999999981,5.0,-1.6299999999998818,0.31999999999993634
2023-06-20 20:15:00,2023-06-20 20:20:00,Short,1936.34,1936.34,0.0,SL Hit,1936.34,1,-41.3399999999981,5.0,0.09000000000014552,-0.9399999999998272
2023-06-20 20:45:00,2023-06-20 20:55:00,Short,1935.9,1935.9,0.0,SL Hit,1935.9,1,-41.3399999999981,10.0,0.09999999999990905,-0.5600000000001728
