Entry Time,Exit Time,Direction,Entry Price,Exit Price,PnL,Exit Reason,SL Price,Units,Cumulative PnL,Duration,MAE,MFE
2023-06-14 05:40:00,2023-06-14 07:25:00,Short,1947.71,1948.79,-1.0799999999999272,SL Hit,1948.79,1,-1.0799999999999272,105.0,1.5199999999999818,-2.910000000000082
2023-06-14 07:45:00,2023-06-14 16:20:00,Long,1952.52,1955.15,10.520000000000437,SL Hit,1955.15,4,9.44000000000051,515.0,-7.220000000000027,7.180000000000064
2023-06-14 16:35:00,2023-06-14 23:30:00,Short,1949.8,1945.12,9.360000000000127,Bullish Trade Reversal,1945.12,2,18.800000000000637,415.0,6.289999999999964,-10.139999999999873
2023-06-14 23:30:00,2023-06-14 23:45:00,Long,1944.16,1943.36,-0.8000000000001819,SL Hit,1943.36,1,18.000000000000455,15.0,-1.3600000000001273,0.9700000000000273
2023-06-15 00:20:00,2023-06-15 05:45:00,Short,1939.37,1936.34,9.089999999999918,SL Hit,1936.34,3,27.090000000000373,325.0,3.7800000000002,-8.6099999999999
2023-06-15 09:50:00,2023-06-15 11:30:00,Long,1933.52,1930.6399999999999,-2.880000000000109,SL Hit,1930.6399999999999,1,24.210000000000264,100.0,-3.7200000000000273,2.8900000000001
2023-06-15 12:20:00,2023-06-15 12:30:00,Short,1930.69,1931.2099999999996,-0.5199999999995271,SL Hit,1931.2099999999996,1,23.690000000000737,10.0,0.7599999999999909,-4.480000000000018
2023-06-15 16:30:00,2023-06-16 00:30:00,Long,1958.795,1956.7,-4.190000000000055,Bearish Trade Reversal,1956.7,2,19.500000000000682,480.0,-2.894999999999982,1.3350000000000364
2023-06-16 00:30:00,2023-06-16 01:40:00,Short,1957.255,1959.27,-4.029999999999745,SL Hit,1959.27,2,15.470000000000937,70.0,3.574999999999818,-1.4550000000001546
2023-06-16 02:45:00,2023-06-16 06:05:00,Short,1957.14,1958.6999999999996,-1.5599999999994907,SL Hit,1958.6999999999996,1,13.910000000001446,200.0,2.9099999999998545,-3.1400000000001
2023-06-16 06:30:00,2023-06-16 06:50:00,Long,1960.6,1960.6,0.0,SL Hit,1960.6,1,13.910000000001446,20.0,-0.07999999999992724,2.5
2023-06-16 09:00:00,2023-06-16 13:00:00,Long,1963.52,1962.2800000000002,-1.2399999999997817,SL Hit,1962.2800000000002,1,12.670000000001664,240.0,-1.4400000000000546,4.279999999999973
2023-06-16 14:10:00,2023-06-16 14:40:00,Short,1959.35,1959.5900000000006,-0.24000000000069122,SL Hit,1959.5900000000006,1,12.430000000000973,30.0,0.9800000000000182,-5.849999999999909
2023-06-18 23:45:00,2023-06-18 23:50:00,Short,1956.95,1956.95,0.0,SL Hit,1956.95,1,12.430000000000973,5.0,0.049999999999954525,-1.0499999999999545
2023-06-19 00:10:00,2023-06-19 00:25:00,Short,1957.9,1958.3799999999997,-0.47999999999956344,SL Hit,1958.3799999999997,1,11.95000000000141,15.0,0.5799999999999272,-0.8000000000001819
2023-06-19 00:30:00,2023-06-19 08:15:00,Short,1956.4066666666665,1957.29,-2.6500000000003183,Bullish Trade Reversal,1957.29,3,9.300000000001091,465.0,1.7333333333335759,-3.6266666666665515
2023-06-19 08:15:00,2023-06-19 09:40:00,Long,1956.995,1952.78,-8.429999999999836,Bearish Trade Reversal,1952.78,2,0.8700000000012551,85.0,-4.324999999999818,1.4950000000001182
2023-06-19 09:40:00,2023-06-19 15:05:00,Short,1953.19,1953.22,-0.05999999999994543,SL Hit,1953.22,2,0.8100000000013097,325.0,0.35999999999989996,-5.3900000000001
2023-06-19 15:55:00,2023-06-19 16:00:00,Short,1950.91,1950.91,0.0,SL Hit,1950.91,1,0.8100000000013097,5.0,0.4199999999998454,-0.4700000000000273
2023-06-19 16:05:00,2023-06-19 16:25:00,Short,1951.25,1951.25,0.0,SL Hit,1951.25,1,0.8100000000013097,20.0,0.08999999999991815,-1.5499999999999545
2023-06-19 17:10:00,2023-06-19 22:05:00,Short,1950.0349999999999,1951.85,-3.630000000000109,SL Hit,1951.85,2,-2.8199999999987995,295.0,2.1050000000002456,-1.334999999999809
2023-06-20 01:25:00,2023-06-20 02:20:00,Short,1949.34,1949.6600000000005,-0.32000000000061846,SL Hit,1949.6600000000005,1,-3.139999999999418,55.0,0.40000000000009095,-4.209999999999809
2023-06-20 04:35:00,2023-06-20 04:40:00,Long,1950.66,1950.5400000000002,-0.11999999999989086,SL Hit,1950.5400000000002,1,-3.259999999999309,5.0,-0.9600000000000364,0.38999999999987267
2023-06-20 06:25:00,2023-06-20 06:30:00,Long,1950.85,1950.85,0.0,SL Hit,1950.85,1,-3.259999999999309,5.0,-0.09999999999990905,0.6300000000001091
2023-06-20 16:45:00,2023-06-21 02:00:00,Long,1936.99,1935.9,-3.2699999999997544,Bearish Trade Reversal,1935.9,3,-6.529999999999063,555.0,-2.089999999999918,1.7799999999999727
2023-06-21 02:00:00,2023-06-21 02:10:00,Short,1936.33,1936.5700000000006,-0.24000000000069122,SL Hit,1936.5700000000006,1,-6.769999999999754,10.0,0.7899999999999636,-0.8699999999998909
2023-06-21 04:10:00,2023-06-21 04:15:00,Short,1936.14,1936.14,0.0,SL Hit,1936.14,1,-6.769999999999754,5.0,0.06999999999993634,-1.1400000000001
2023-06-21 17:00:00,2023-06-21 19:50:00,Long,1934.4366666666667,1933.3,-3.4100000000003092,Bearish Trade Reversal,1933.3,3,-10.180000000000064,170.0,-1.4766666666666879,2.9733333333333576
2023-06-21 19:50:00,2023-06-21 20:00:00,Short,1933.54,1934.2200000000003,-0.680000000000291,SL Hit,1934.2200000000003,1,-10.860000000000355,10.0,0.7400000000000091,-1.1399999999998727
2023-06-21 23:50:00,2023-06-21 23:55:00,Long,1934.0,1934.0,0.0,SL Hit,1934.0,1,-10.860000000000355,5.0,-0.900000000000091,0.7400000000000091
2023-06-22 00:25:00,2023-06-22 00:30:00,Short,1933.1,1933.1399999999999,-0.03999999999996362,SL Hit,1933.1399999999999,1,-10.900000000000318,5.0,0.290000000000191,-1.0
2023-06-22 01:05:00,2023-06-22 01:15:00,Short,1932.76,1933.1199999999997,-0.3599999999996726,SL Hit,1933.1199999999997,1,-11.259999999999991,10.0,0.4600000000000364,-0.8599999999999
2023-06-22 04:10:00,2023-06-22 04:30:00,Short,1932.26,1932.26,0.0,SL Hit,1932.26,1,-11.259999999999991,20.0,0.12000000000011823,-1.3599999999999
2023-06-22 04:40:00,2023-06-22 08:10:00,Short,1929.775,1931.33,-3.1099999999996726,SL Hit,1931.33,2,-14.369999999999663,210.0,1.974999999999909,-2.634999999999991
2023-06-22 11:15:00,2023-06-22 11:25:00,Long,1928.5,1927.6999999999998,-0.8000000000001819,SL Hit,1927.6999999999998,1,-15.169999999999845,10.0,-2.2999999999999545,1.0199999999999818
2023-06-22 12:05:00,2023-06-22 12:30:00,Short,1925.85,1926.65,-0.8000000000001819,Bullish Trade Reversal,1926.65,1,-15.970000000000027,25.0,4.360000000000127,-2.089999999999918
2023-06-22 12:30:00,2023-06-22 12:45:00,Long,1927.26,1923.22,-4.039999999999964,Bearish Trade Reversal,1923.22,1,-20.00999999999999,15.0,-2.5499999999999545,3.2799999999999727
2023-06-22 12:45:00,2023-06-23 00:50:00,Short,1917.2733333333333,1915.78,8.960000000000036,SL Hit,1915.78,6,-11.049999999999955,725.0,9.88666666666677,-4.873333333333221
2023-06-23 01:40:00,2023-06-23 04:45:00,Short,1913.3899999999999,1915.9,-5.020000000000437,SL Hit,1915.9,2,-16.07000000000039,185.0,3.2200000000000273,-3.189999999999827
2023-06-23 07:30:00,2023-06-23 19:50:00,Long,1918.7216666666666,1918.6,-0.7300000000000182,SL Hit,1918.6,6,-16.80000000000041,740.0,-3.7716666666665333,17.848333333333358
2023-06-26 01:35:00,2023-06-26 01:45:00,Long,1927.3,1926.8600000000004,-0.4399999999995998,SL Hit,1926.8600000000004,1,-17.24000000000001,10.0,-0.5,1.0299999999999727
2023-06-26 04:25:00,2023-06-26 04:45:00,Short,1925.0,1925.5600000000004,-0.5600000000004002,SL Hit,1925.5600000000004,1,-17.80000000000041,20.0,0.7300000000000182,-1.099999999999909
2023-06-26 05:40:00,2023-06-26 06:25:00,Long,1926.27,1924.6299999999997,-1.6400000000003274,SL Hit,1924.6299999999997,1,-19.440000000000737,45.0,-2.1700000000000728,1.1900000000000546
2023-06-26 13:25:00,2023-06-27 01:15:00,Short,1925.05,1924.6,2.2500000000002274,SL Hit,1924.6,5,-17.19000000000051,710.0,3.509999999999991,-4.649999999999864
2023-06-27 01:20:00,2023-06-27 05:35:00,Long,1926.465,1927.6,2.269999999999982,SL Hit,1927.6,2,-14.920000000000528,255.0,-2.0950000000000273,3.5750000000000455
2023-06-27 09:40:00,2023-06-27 12:05:00,Short,1922.4850000000001,1924.38,-3.7899999999999636,SL Hit,1924.38,2,-18.71000000000049,145.0,2.5149999999998727,-2.6150000000002365
2023-06-27 17:40:00,2023-06-27 18:45:00,Short,1913.6,1914.0800000000004,-0.48000000000047294,SL Hit,1914.0800000000004,1,-19.190000000000964,65.0,0.650000000000091,-3.0
